date,word,type
2024-12-23,Family,association
2024-12-23,Friends,association
2024-12-21,Family,association
2024-12-21,Friends,association
2024-12-18,Education,association
2024-12-18,Friends,association
2024-12-17,Education,association
2024-12-17,Friends,association
2024-12-16,Friends,association
2024-12-16,Current events,association
2024-12-16,Travel,association
2024-12-15,Friends,association
2024-12-15,Current events,association
2024-12-14,Current events,association
2024-12-14,Friends,association
2024-12-13,Friends,association
2024-12-13,Current events,association
2024-12-13,Travel,association
2024-12-12,Friends,association
2024-12-12,Education,association
2024-12-12,Work,association
2024-12-11,Education,association
2024-12-10,Education,association
2024-12-09,Education,association
2024-12-09,Current events,association
2024-12-08,Family,association
2024-12-08,Friends,association
2024-12-08,Travel,association
2024-12-07,Family,association
2024-12-07,Friends,association
2024-12-06,Friends,association
2024-12-06,Family,association
2024-12-06,Current events,association
2024-12-06,Travel,association
2024-12-05,Friends,association
2024-12-05,Current events,association
2024-12-05,Work,association
2024-12-05,Education,association
2024-12-04,Friends,association
2024-12-04,Education,association
2024-12-03,Friends,association
2024-12-03,Education,association
2024-12-03,Fitness,association
2024-12-02,Current events,association
2024-12-01,Family,association
2024-12-01,Current events,association
2024-12-01,Work,association
2024-11-30,Current events,association
2024-11-29,Friends,association
2024-11-29,Family,association
2024-11-29,Fitness,association
2024-11-28,Work,association
2024-11-28,Travel,association
2024-11-28,Education,association
2024-11-27,Education,association
2024-11-26,Health,association
2024-11-25,Self-care,association
2024-11-25,Friends,association
2024-11-25,Current events,association
2024-11-24,Current events,association
2024-11-24,Family,association
2024-11-23,Current events,association
2024-11-22,Work,association
2024-11-21,Current events,association
2024-11-20,Education,association
2024-11-19,Education,association
2024-11-18,Fitness,association
2024-11-18,Work,association
2024-11-18,Education,association
2024-11-17,Fitness,association
2024-11-17,Education,association
2024-11-17,Tasks,association
2024-11-16,Family,association
2024-11-16,Friends,association
2024-11-16,Work,association
2024-11-15,Family,association
2024-11-15,Friends,association
2024-11-15,Work,association
2024-11-14,Friends,association
2024-11-14,Education,association
2024-11-13,Friends,association
2024-11-13,Work,association
2024-11-13,Education,association
2024-11-12,Friends,association
2024-11-12,Education,association
2024-11-12,Work,association
2024-11-11,Work,association
2024-11-11,Health,association
2024-11-10,Health,association
2024-11-10,Current events,association
2024-11-10,Family,association
2024-11-09,Health,association
2024-11-09,Work,association
2024-11-08,Health,association
2024-11-08,Work,association
2024-11-07,Fitness,association
2024-11-07,Health,association
2024-11-07,Work,association
2024-11-07,Education,association
2024-11-06,Fitness,association
2024-11-06,Education,association
2024-11-06,Friends,association
2024-11-05,Work,association
2024-11-05,Education,association
2024-11-05,Friends,association
2024-11-04,Friends,association
2024-11-04,Work,association
2024-11-04,Education,association
2024-11-03,Family,association
2024-11-02,Family,association
2024-11-01,Hobbies,association
2024-11-01,Family,association
2024-11-01,Friends,association
2024-10-31,Friends,association
2024-10-31,Fitness,association
2024-10-31,Education,association
2024-10-31,Travel,association
2024-10-30,Fitness,association
2024-10-30,Friends,association
2024-10-30,Work,association
2024-10-29,Friends,association
2024-10-29,Work,association
2024-10-29,Education,association
2024-10-28,Education,association
2024-10-28,Tasks,association
2024-10-27,Current events,association
2024-10-27,Health,association
2024-10-26,Fitness,association
2024-10-26,Work,association
2024-10-26,Tasks,association
2024-10-25,Work,association
2024-10-25,Education,association
2024-10-25,Tasks,association
2024-10-25,Friends,association
2024-10-24,Family,association
2024-10-24,Friends,association
2024-10-24,Education,association
2024-10-23,Friends,association
2024-10-23,Work,association
2024-10-23,Education,association
2024-10-22,Friends,association
2024-10-22,Education,association
2024-10-21,Current events,association
2024-10-21,Health,association
2024-10-20,Friends,association
2024-10-20,Tasks,association
2024-10-19,Current events,association
2024-10-19,Friends,association
2024-10-18,Friends,association
2024-10-18,Work,association
2024-10-18,Current events,association
2024-10-17,Friends,association
2024-10-17,Work,association
2024-10-17,Education,association
2024-10-16,Friends,association
2024-10-16,Work,association
2024-10-16,Education,association
2024-10-15,Current events,association
2024-10-15,Health,association
2024-10-14,Friends,association
2024-10-14,Education,association
2024-10-14,Work,association
2024-10-13,Current events,association
2024-10-12,Family,association
2024-10-12,Current events,association
2024-10-11,Family,association
2024-10-11,Work,association
2024-10-11,Tasks,association
2024-10-10,Work,association
2024-10-10,Education,association
2024-10-10,Family,association
2024-10-10,Friends,association
2024-10-09,Education,association
2024-10-09,Tasks,association
2024-10-08,Community,association
2024-10-08,Friends,association
2024-10-08,Education,association
2024-10-07,Current events,association
2024-10-07,Education,association
2024-10-07,Work,association
2024-10-07,Friends,association
2024-10-07,Health,association
2024-12-23,Peaceful,description
2024-12-23,Happy,description
2024-12-23,Joyful,description
2024-12-21,Happy,description
2024-12-21,Grateful,description
2024-12-18,Calm,description
2024-12-18,Content,description
2024-12-17,Calm,description
2024-12-16,Calm,description
2024-12-16,Happy,description
2024-12-15,Happy,description
2024-12-15,Excited,description
2024-12-15,Grateful,description
2024-12-14,Happy,description
2024-12-14,Joyful,description
2024-12-13,Excited,description
2024-12-13,Happy,description
2024-12-13,Joyful,description
2024-12-12,Calm,description
2024-12-12,Joyful,description
2024-12-11,Drained,description
2024-12-11,Calm,description
2024-12-10,Calm,description
2024-12-10,Content,description
2024-12-09,Anxious,description
2024-12-09,Calm,description
2024-12-09,Drained,description
2024-12-08,Calm,description
2024-12-08,Happy,description
2024-12-07,Calm,description
2024-12-07,Happy,description
2024-12-06,Calm,description
2024-12-06,Happy,description
2024-12-06,Joyful,description
2024-12-06,Excited,description
2024-12-05,Calm,description
2024-12-05,Happy,description
2024-12-04,Relieved,description
2024-12-04,Happy,description
2024-12-03,Drained,description
2024-12-03,Happy,description
2024-12-03,Satisfied,description
2024-12-02,Calm,description
2024-12-02,Guilty,description
2024-12-01,Calm,description
2024-12-01,Happy,description
2024-11-30,Drained,description
2024-11-30,Calm,description
2024-11-29,Happy,description
2024-11-29,Excited,description
2024-11-29,Grateful,description
2024-11-28,Drained,description
2024-11-28,Calm,description
2024-11-27,Discouraged,description
2024-11-26,Annoyed,description
2024-11-26,Irritated,description
2024-11-25,Anxious,description
2024-11-25,Calm,description
2024-11-25,Dissapointed,description
2024-11-25,Drained,description
2024-11-25,Guilty,description
2024-11-24,Calm,description
2024-11-23,Calm,description
2024-11-22,Relieved,description
2024-11-22,Happy,description
2024-11-21,Anxious,description
2024-11-20,Calm,description
2024-11-20,Drained,description
2024-11-19,Frustrated,description
2024-11-19,Overwhelmed,description
2024-11-19,Anxious,description
2024-11-18,Content,description
2024-11-18,Calm,description
2024-11-17,Happy,description
2024-11-17,Calm,description
2024-11-16,Peaceful,description
2024-11-16,Happy,description
2024-11-15,Happy,description
2024-11-15,Calm,description
2024-11-14,Happy,description
2024-11-14,Excited,description
2024-11-13,Drained,description
2024-11-12,Peaceful,description
2024-11-12,Happy,description
2024-11-11,Calm,description
2024-11-11,Frustrated,description
2024-11-10,Suprised,description
2024-11-10,Calm,description
2024-11-09,Calm,description
2024-11-08,Calm,description
2024-11-07,Calm,description
2024-11-07,Drained,description
2024-11-07,Happy,description
2024-11-06,Calm,description
2024-11-06,Drained,description
2024-11-05,Calm,description
2024-11-05,Drained,description
2024-11-04,Excited,description
2024-11-04,Calm,description
2024-11-03,Calm,description
2024-11-02,Happy,description
2024-11-02,Grateful,description
2024-11-01,Happy,description
2024-11-01,Excited,description
2024-10-31,Calm,description
2024-10-31,Satisfied,description
2024-10-31,Confident,description
2024-10-30,Calm,description
2024-10-30,Confident,description
2024-10-29,Content,description
2024-10-28,Anxious,description
2024-10-27,Drained,description
2024-10-27,Calm,description
2024-10-26,Calm,description
2024-10-26,Happy,description
2024-10-26,Satisfied,description
2024-10-25,Happy,description
2024-10-25,Calm,description
2024-10-24,Happy,description
2024-10-24,Joyful,description
2024-10-24,Grateful,description
2024-10-24,Proud,description
2024-10-23,Happy,description
2024-10-23,Joyful,description
2024-10-22,Happy,description
2024-10-22,Proud,description
2024-10-21,Irritated,description
2024-10-20,Calm,description
2024-10-20,Peaceful,description
2024-10-20,Happy,description
2024-10-19,Happy,description
2024-10-19,Drained,description
2024-10-18,Calm,description
2024-10-18,Peaceful,description
2024-10-17,Content,description
2024-10-17,Happy,description
2024-10-16,Calm,description
2024-10-16,Content,description
2024-10-16,Happy,description
2024-10-15,Disgusted,description
2024-10-15,Irritated,description
2024-10-14,Happy,description
2024-10-14,Amused,description
2024-10-13,Calm,description
2024-10-13,Drained,description
2024-10-12,Happy,description
2024-10-12,Calm,description
2024-10-11,Calm,description
2024-10-11,Drained,description
2024-10-10,Calm,description
2024-10-10,Drained,description
2024-10-09,Frustrated,description
2024-10-09,Stressed,description
2024-10-08,Amused,description
2024-10-08,Satisfied,description
2024-10-08,Happy,description
2024-10-08,Joyful,description
2024-10-07,Hopeful,description
2024-10-07,Calm,description
2024-12-23,Nephew,context
2024-12-23,Birthday,context
2024-12-23,Party,context
2024-12-21,Scout,context
2024-12-21,Christmas,context
2024-12-21,Event,context
2024-12-18,Two,context
2024-12-18,Tests,context
2024-12-18,Today,context
2024-12-18,One,context
2024-12-18,Tough,context
2024-12-18,One,context
2024-12-18,Easy,context
2024-12-18,Delicious,context
2024-12-18,Dinner,context
2024-12-17,Ok,context
2024-12-17,Day,context
2024-12-17,Preparation,context
2024-12-17,Statistics,context
2024-12-16,Travelling,context
2024-12-16,Day,context
2024-12-16,Something,context
2024-12-16,School,context
2024-12-16,Chilling,context
2024-12-16,Evening,context
2024-12-15,Cerctwo thousand and twenty-four,context
2024-12-15,,context
2024-12-15,Good,context
2024-12-15,First,context
2024-12-15,Time,context
2024-12-15,Good,context
2024-12-15,Time,context
2024-12-14,Cerctwo thousand and twenty-four,context
2024-12-14,Day,context
2024-12-14,One,context
2024-12-14,Fun,context
2024-12-14,Met,context
2024-12-14,Good,context
2024-12-14,People,context
2024-12-14,Practice,context
2024-12-14,Round,context
2024-12-13,Rationai,context
2024-12-13,Irl,context
2024-12-13,Meeting,context
2024-12-13,Travel,context
2024-12-13,Wroclaw,context
2024-12-13,Beautiful,context
2024-12-13,Place,context
2024-12-12,Good,context
2024-12-12,Second,context
2024-12-12,Lunch,context
2024-12-12,Friends,association
2024-12-12,Lot,context
2024-12-12,Studying,context
2024-12-12,Homework,context
2024-12-11,Much,context
2024-12-11,School,context
2024-12-11,Today,context
2024-12-11,Classes,context
2024-12-11,Studying,context
2024-12-10,Lecture,context
2024-12-10,Whole,context
2024-12-10,Day,context
2024-12-10,Prep,context
2024-12-10,Statistics,context
2024-12-09,Studying,context
2024-12-09,Day,context
2024-12-09,Took,context
2024-12-09,Holiday,context
2024-12-09,Work,context
2024-12-09,Focus,context
2024-12-09,Study,context
2024-12-08,Travel,context
2024-12-08,Brno,context
2024-12-08,Playing,context
2024-12-08,Game,context
2024-12-08,Sister,context
2024-12-08,Procrastinating,context
2024-12-07,Good,context
2024-12-07,Saturday,context
2024-12-07,Work,context
2024-12-07,Scouting,context
2024-12-07,Chill,context
2024-12-07,Home,context
2024-12-06,Saint,context
2024-12-06,Nicolaus,context
2024-12-06,Day,context
2024-12-06,Christmas,context
2024-12-06,Vibes,context
2024-12-06,Travel,context
2024-12-06,Home,context
2024-12-06,Volleyball,context
2024-12-05,Two,context
2024-12-05,Lunches,context
2024-12-05,Today,context
2024-12-05,Work,context
2024-12-05,School,context
2024-12-05,Gym,context
2024-12-05,Good,context
2024-12-05,Dinner,context
2024-12-04,Morning,context
2024-12-04,Hard,context
2024-12-04,Slept,context
2024-12-04,Seven,context
2024-12-04,Hours,context
2024-12-04,Got,context
2024-12-04,Better,context
2024-12-03,Day,context
2024-12-03,Okay,context
2024-12-03,Wanted,context
2024-12-03,Always,context
2024-12-02,Bad,context
2024-12-02,Day,context
2024-12-02,Feeling,context
